Latitude,Longitude,CreatedDate
13.6814270,100.7475967,2026-04-22 12:09:10.7996649 +07:00
13.6814270,100.7475967,2026-04-22 12:09:15.8072994 +07:00
13.6814270,100.7476044,2026-04-22 12:09:20.8104904 +07:00
13.6814270,100.7476044,2026-04-22 12:09:25.8073082 +07:00
13.6814289,100.7476044,2026-04-22 12:09:30.8000131 +07:00
13.6814318,100.7475967,2026-04-22 12:09:35.8085980 +07:00
13.6814337,100.7475967,2026-04-22 12:09:40.7989751 +07:00
13.6814365,100.7475891,2026-04-22 12:09:45.8032978 +07:00
13.6814384,100.7475891,2026-04-22 12:09:50.7997319 +07:00
13.6814384,100.7475891,2026-04-22 12:09:55.8073996 +07:00
13.6814413,100.7475891,2026-04-22 12:10:00.7996634 +07:00
13.6814413,100.7475891,2026-04-22 12:10:05.8088305 +07:00
13.6814432,100.7475891,2026-04-22 12:10:10.7996478 +07:00
13.6814451,100.7475891,2026-04-22 12:10:15.8038064 +07:00
13.6814461,100.7475815,2026-04-22 12:10:20.7934576 +07:00
13.6814528,100.7475815,2026-04-22 12:10:25.8072435 +07:00
13.6814556,100.7475815,2026-04-22 12:10:30.7994102 +07:00
13.6814556,100.7475815,2026-04-22 12:10:35.8070258 +07:00
13.6814547,100.7475815,2026-04-22 12:10:40.7993166 +07:00
13.6814547,100.7475891,2026-04-22 12:10:45.8078633 +07:00
13.6814528,100.7475891,2026-04-22 12:10:50.8139810 +07:00
13.6814508,100.7475967,2026-04-22 12:10:55.8078106 +07:00
13.6814528,100.7475967,2026-04-22 12:11:00.7939659 +07:00
13.6814547,100.7475967,2026-04-22 12:11:05.8069096 +07:00
13.6814547,100.7475967,2026-04-22 12:11:10.7999826 +07:00
13.6814556,100.7475967,2026-04-22 12:11:15.8079212 +07:00
13.6814556,100.7475967,2026-04-22 12:11:20.7985870 +07:00
13.6814604,100.7475967,2026-04-22 12:11:25.8067303 +07:00
13.6814651,100.7475891,2026-04-22 12:11:30.8063685 +07:00
13.6814671,100.7475815,2026-04-22 12:11:35.8063122 +07:00
13.6814671,100.7475815,2026-04-22 12:11:40.7999166 +07:00
13.6814651,100.7475815,2026-04-22 12:11:45.8069607 +07:00
13.6814642,100.7475815,2026-04-22 12:11:50.7989832 +07:00
13.6814623,100.7475815,2026-04-22 12:11:55.8075802 +07:00
13.6814594,100.7475815,2026-04-22 12:12:00.7988168 +07:00
13.6814594,100.7475815,2026-04-22 12:12:05.8130466 +07:00
13.6814547,100.7475815,2026-04-22 12:12:10.8093720 +07:00
13.6814528,100.7475815,2026-04-22 12:12:15.8145719 +07:00
13.6814499,100.7475815,2026-04-22 12:12:20.8037615 +07:00
13.6814480,100.7475815,2026-04-22 12:12:25.8069611 +07:00
13.6814432,100.7475815,2026-04-22 12:12:30.8147767 +07:00
13.6814413,100.7475815,2026-04-22 12:12:35.8064880 +07:00
13.6814413,100.7475815,2026-04-22 12:12:37.6271935 +07:00
13.6814432,100.7475739,2026-04-22 12:12:40.7951555 +07:00
13.6814432,100.7475739,2026-04-22 12:12:45.7976976 +07:00
13.6814451,100.7475739,2026-04-22 12:12:50.8071723 +07:00
13.6814461,100.7475739,2026-04-22 12:12:55.7998707 +07:00
13.6814480,100.7475662,2026-04-22 12:13:00.8133543 +07:00
13.6814499,100.7475586,2026-04-22 12:13:05.8054296 +07:00
13.6814547,100.7475510,2026-04-22 12:13:10.8069942 +07:00
13.6814575,100.7475510,2026-04-22 12:13:15.7988608 +07:00
13.6814623,100.7475357,2026-04-22 12:13:20.8126755 +07:00
13.6814623,100.7475357,2026-04-22 12:13:25.8040593 +07:00
13.6813822,100.7475204,2026-04-22 12:13:30.8144873 +07:00
13.6813116,100.7475510,2026-04-22 12:13:35.8044821 +07:00
13.6812620,100.7476807,2026-04-22 12:13:40.8065696 +07:00
13.6812820,100.7477188,2026-04-22 12:13:45.8147069 +07:00
13.6814203,100.7477646,2026-04-22 12:13:50.8077304 +07:00
13.6814623,100.7477417,2026-04-22 12:13:55.8045708 +07:00
13.6816654,100.7476273,2026-04-22 12:14:00.8082948 +07:00
13.6818848,100.7476425,2026-04-22 12:14:10.8027420 +07:00
13.6818962,100.7476501,2026-04-22 12:14:15.8090166 +07:00
13.6819668,100.7477341,2026-04-22 12:14:20.8088833 +07:00
13.6819649,100.7478180,2026-04-22 12:14:25.8002367 +07:00
13.6819220,100.7481308,2026-04-22 12:14:30.8226850 +07:00
13.6818542,100.7484131,2026-04-22 12:14:35.8234513 +07:00
13.6818085,100.7485886,2026-04-22 12:14:40.8127802 +07:00
13.6817293,100.7488632,2026-04-22 12:14:45.8045505 +07:00
13.6816750,100.7490540,2026-04-22 12:14:51.5316079 +07:00
13.6815948,100.7493362,2026-04-22 12:14:56.1655758 +07:00
13.6814947,100.7498016,2026-04-22 12:15:06.1623392 +07:00
13.6814413,100.7500000,2026-04-22 12:15:11.1686569 +07:00
13.6813650,100.7502899,2026-04-22 12:15:16.1544054 +07:00
13.6813164,100.7504730,2026-04-22 12:15:21.5145187 +07:00
13.6812449,100.7507553,2026-04-22 12:15:26.1643348 +07:00
13.6811924,100.7509537,2026-04-22 12:15:31.5113784 +07:00
13.6811628,100.7510529,2026-04-22 12:15:36.6237296 +07:00
13.6810532,100.7515106,2026-04-22 12:15:41.1726027 +07:00
13.6810284,100.7516098,2026-04-22 12:15:46.1703395 +07:00
13.6809444,100.7519531,2026-04-22 12:15:51.5054848 +07:00
13.6809187,100.7520599,2026-04-22 12:15:56.1588463 +07:00
13.6808033,100.7524948,2026-04-22 12:16:01.1664798 +07:00
13.6807795,100.7525787,2026-04-22 12:16:06.1897108 +07:00
13.6807356,100.7527695,2026-04-22 12:16:11.5021237 +07:00
13.6807308,100.7527924,2026-04-22 12:16:16.1627638 +07:00
13.6807699,100.7529373,2026-04-22 12:16:21.1754257 +07:00
13.6808815,100.7529755,2026-04-22 12:16:26.1768242 +07:00
13.6811075,100.7530289,2026-04-22 12:16:31.1667658 +07:00
13.6812449,100.7530518,2026-04-22 12:16:36.6140580 +07:00
13.6814461,100.7530289,2026-04-22 12:16:41.1640811 +07:00
13.6815100,100.7529449,2026-04-22 12:16:46.5697914 +07:00
13.6815310,100.7528610,2026-04-22 12:16:51.1567768 +07:00
13.6815500,100.7527771,2026-04-22 12:16:56.6157343 +07:00
13.6816063,100.7525482,2026-04-22 12:17:01.1695864 +07:00
13.6816530,100.7523422,2026-04-22 12:17:06.5162287 +07:00
13.6817408,100.7519989,2026-04-22 12:17:11.2544281 +07:00
13.6817732,100.7518768,2026-04-22 12:17:16.1740365 +07:00
13.6818733,100.7514496,2026-04-22 12:17:21.5664818 +07:00
13.6819315,100.7512054,2026-04-22 12:17:26.1764317 +07:00
13.6820316,100.7507935,2026-04-22 12:17:31.1599500 +07:00
13.6820621,100.7506790,2026-04-22 12:17:36.2469000 +07:00
13.6821709,100.7502441,2026-04-22 12:17:41.6089734 +07:00
13.6822348,100.7500000,2026-04-22 12:17:46.1635755 +07:00
13.6823425,100.7495651,2026-04-22 12:17:51.1610228 +07:00
13.6823740,100.7494431,2026-04-22 12:17:56.1697857 +07:00
13.6824818,100.7490387,2026-04-22 12:18:01.6005704 +07:00
13.6825857,100.7487259,2026-04-22 12:18:06.2268552 +07:00
13.6826448,100.7485046,2026-04-22 12:18:11.6351248 +07:00
13.6827326,100.7481766,2026-04-22 12:18:16.1821613 +07:00
13.6827965,100.7479706,2026-04-22 12:18:21.5946677 +07:00
13.6828814,100.7476425,2026-04-22 12:18:26.2058761 +07:00
13.6829348,100.7474213,2026-04-22 12:18:31.5172074 +07:00
13.6830149,100.7471008,2026-04-22 12:18:36.1766813 +07:00
13.6830692,100.7468872,2026-04-22 12:18:41.2267183 +07:00
13.6831236,100.7466736,2026-04-22 12:18:46.1640408 +07:00
13.6832190,100.7462845,2026-04-22 12:18:51.1760631 +07:00
13.6832724,100.7460709,2026-04-22 12:18:56.1755044 +07:00
13.6833487,100.7457886,2026-04-22 12:19:01.5359061 +07:00
13.6834021,100.7455750,2026-04-22 12:19:06.1652086 +07:00
13.6834850,100.7451935,2026-04-22 12:19:11.1788375 +07:00
13.6835403,100.7449722,2026-04-22 12:19:16.1640373 +07:00
13.6836061,100.7446899,2026-04-22 12:19:21.5154272 +07:00
13.6836510,100.7444763,2026-04-22 12:19:26.1644041 +07:00
13.6837454,100.7440796,2026-04-22 12:19:31.1775317 +07:00
13.6838045,100.7438660,2026-04-22 12:19:36.6034969 +07:00
13.6838732,100.7435379,2026-04-22 12:19:41.2175414 +07:00
13.6838942,100.7434082,2026-04-22 12:19:46.5951571 +07:00
13.6838884,100.7433014,2026-04-22 12:19:51.3931477 +07:00
13.6838036,100.7432480,2026-04-22 12:19:56.1544457 +07:00
13.6835699,100.7432098,2026-04-22 12:20:01.1709204 +07:00
13.6834116,100.7431793,2026-04-22 12:20:06.5622551 +07:00
13.6832142,100.7432785,2026-04-22 12:20:11.1724007 +07:00
13.6831617,100.7434464,2026-04-22 12:20:16.6023862 +07:00
13.6830912,100.7437134,2026-04-22 12:20:21.2115925 +07:00
13.6830463,100.7438583,2026-04-22 12:20:26.2030915 +07:00
13.6830273,100.7439346,2026-04-22 12:20:31.6420900 +07:00
13.6829300,100.7442703,2026-04-22 12:20:36.2029889 +07:00
13.6828690,100.7444382,2026-04-22 12:20:41.1736716 +07:00
13.6828241,100.7445984,2026-04-22 12:20:46.1629282 +07:00
13.6828032,100.7446747,2026-04-22 12:20:51.5720158 +07:00
